Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R7GD 16xlarge Extra Large,r7gd.16xlarge,"1,587,695.361",Memory optimized,242.0 fps,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.8989 hourly,$3.0863 hourly,$1.9079 hourly,,
R7GD Double Extra Large,r7gd.2xlarge,"203,977.562",Memory optimized,73.0 fps,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 15 Gigabit,$0.6124 hourly,$0.3858 hourly,$0.2156 hourly,,
R7GD Quadruple Extra Large,r7gd.4xlarge,"401,782.912",Memory optimized,133.0 fps,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,$1.2247 hourly,$0.7716 hourly,$0.4366 hourly,,
R7GD Eight Extra Large,r7gd.8xlarge,"817,891.374",Memory optimized,208.0 fps,256 GiB,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,$2.4494 hourly,$1.5431 hourly,$0.5684 hourly,,
R7GD Large,r7gd.large,"52,160.306",Memory optimized,19.0 fps,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1531 hourly,$0.0964 hourly,$0.0381 hourly,,
R7GD Medium,r7gd.medium,"25,953.802",Memory optimized,10.0 fps,8 GiB,1 vCPUs,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0765 hourly,$0.0482 hourly,$0.014 hourly,,
R7GD Metal,r7gd.metal,"1,648,316.271",Memory optimized,245.0 fps,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.8989 hourly,$3.0863 hourly,$0.4899 hourly,,
R7GD Extra Large,r7gd.xlarge,"96,354.585",Memory optimized,38.0 fps,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.3062 hourly,$0.1929 hourly,$0.1129 hourly,,
R7I 12xlarge Extra Large,r7i.12xlarge,"1,058,395.502",Memory optimized,232.0 fps,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,$3.528 hourly,$2.3338 hourly,$0.9766 hourly,$5.736 hourly,$4.5418 hourly
R7I 16xlarge Extra Large,r7i.16xlarge,"1,431,874.114",Memory optimized,235.0 fps,512 GiB,64 vCPUs,EBS only,25 Gigabit,$4.704 hourly,$3.1117 hourly,$0.8733 hourly,$7.648 hourly,$6.0557 hourly
R7I 24xlarge,r7i.24xlarge,"1,947,327.496",Memory optimized,258.0 fps,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$7.056 hourly,$4.6675 hourly,$1.5069 hourly,$11.472 hourly,$9.0835 hourly
R7I Double Extra Large,r7i.2xlarge,"187,214.79",Memory optimized,65.0 fps,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.588 hourly,$0.389 hourly,$0.1354 hourly,$0.956 hourly,$0.757 hourly
R7I 48xlarge,r7i.48xlarge,"3,921,435.136",Memory optimized,269.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$14.112 hourly,$9.3351 hourly,$2.5137 hourly,$22.944 hourly,$18.1671 hourly
R7I Quadruple Extra Large,r7i.4xlarge,"374,035.689",Memory optimized,129.0 fps,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.176 hourly,$0.7779 hourly,$0.2546 hourly,$1.912 hourly,$1.5139 hourly
R7I Eight Extra Large,r7i.8xlarge,"763,358.779",Memory optimized,218.0 fps,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.352 hourly,$1.5559 hourly,$1.0038 hourly,$3.824 hourly,$3.0279 hourly
R7I Large,r7i.large,"48,385.146",Memory optimized,17.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.147 hourly,$0.0972 hourly,$0.0307 hourly,$0.239 hourly,$0.1892 hourly
R7I Metal-24xl,r7i.metal-24xl,"2,100,043.751",Memory optimized,270.0 fps,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$7.056 hourly,$4.6675 hourly,$1.5754 hourly,$11.472 hourly,$9.0835 hourly
